rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1688706000,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688706600,8.543e+00,9.001e+00,2.309e-01,2.433e-01
1688707200,4.201e+00,1.000e+00,1.136e-01,2.705e-02
1688707800,8.609e+00,2.500e+00,2.327e-01,6.758e-02
1688708400,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688709000,1.089e+01,1.000e+00,2.944e-01,2.705e-02
1688709600,4.209e+00,1.000e+00,1.138e-01,2.705e-02
1688710200,1.082e+01,1.000e+01,2.926e-01,2.703e-01
1688710800,1.771e+01,2.000e+00,4.786e-01,2.705e-02
1688711400,1.081e+01,6.001e+00,2.922e-01,1.622e-01
1688712000,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688712600,6.277e+00,3.501e+00,1.697e-01,9.461e-02
1688713200,1.603e+01,5.001e+00,4.333e-01,1.352e-01
1688713800,6.409e+00,3.500e+00,1.732e-01,9.461e-02
1688714400,6.475e+00,2.500e+00,1.750e-01,6.758e-02
1688715000,2.499e+01,6.001e+00,6.754e-01,1.622e-01
1688715600,1.000e+00,4.001e+00,2.705e-02,1.081e-01
1688716200,2.075e+00,1.000e+00,5.607e-02,2.705e-02
1688716800,1.315e+01,1.000e+01,3.553e-01,2.703e-01
1688717400,6.409e+00,7.501e+00,1.732e-01,2.027e-01
1688718000,4.209e+00,1.000e+00,1.138e-01,2.705e-02
1688718600,1.315e+01,9.001e+00,3.554e-01,2.433e-01
1688719200,1.542e+01,1.000e+00,4.167e-01,2.705e-02
1688719800,1.305e+01,1.000e+01,3.526e-01,2.703e-01
1688720400,4.209e+00,1.100e+01,1.138e-01,2.973e-01
1688721000,2.004e+01,1.000e+00,5.417e-01,2.705e-02
1688721600,1.993e+01,1.250e+01,5.387e-01,3.379e-01
1688722200,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688722800,2.237e+01,7.489e+00,6.047e-01,2.024e-01
1688723400,1.745e+01,1.100e+01,4.716e-01,2.973e-01
1688724000,1.982e+01,7.001e+00,5.358e-01,1.892e-01
1688724600,8.543e+00,1.000e+00,2.309e-01,2.705e-02
1688725200,6.343e+00,1.400e+01,1.714e-01,3.784e-01
1688725800,2.710e+01,2.500e+00,7.325e-01,6.758e-02
1688726400,8.609e+00,9.501e+00,2.327e-01,2.568e-01
1688727000,8.675e+00,1.000e+01,2.345e-01,2.703e-01
1688727600,6.409e+00,1.250e+01,1.732e-01,3.379e-01
1688728200,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688728800,1.081e+01,1.000e+00,2.922e-01,2.705e-02
1688729400,6.343e+00,1.500e+01,1.714e-01,4.055e-01
1688730000,8.609e+00,3.000e+00,2.327e-01,8.109e-02
1688730600,8.675e+00,1.050e+01,2.345e-01,2.838e-01
1688731200,1.534e+01,7.501e+00,4.145e-01,2.027e-01
1688731800,1.537e+01,1.000e+00,4.155e-01,2.705e-02
1688732400,1.529e+01,1.150e+01,4.132e-01,3.109e-01
1688733000,6.277e+00,1.000e+00,1.696e-01,2.705e-02
1688733600,6.475e+00,9.501e+00,1.750e-01,2.568e-01
1688734200,8.675e+00,6.501e+00,2.345e-01,1.757e-01
1688734800,2.001e+01,6.501e+00,5.408e-01,1.757e-01
1688735400,2.075e+00,6.501e+00,5.607e-02,1.757e-01
1688736000,1.075e+01,1.000e+00,2.905e-01,2.705e-02
1688736600,1.743e+01,1.500e+01,4.711e-01,4.055e-01
1688737200,1.303e+01,1.000e+00,3.520e-01,2.705e-02
1688737800,1.529e+01,1.000e+00,4.131e-01,2.705e-02
1688738400,6.332e+00,2.197e+01,1.711e-01,5.937e-01
1688739000,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688739600,1.993e+01,8.501e+00,5.386e-01,2.298e-01
1688740200,9.644e+00,9.001e+00,2.606e-01,2.433e-01
1688740800,2.001e+01,1.000e+00,5.409e-01,2.705e-02
1688741400,1.307e+01,4.501e+00,3.532e-01,1.216e-01
1688742000,1.294e+01,8.501e+00,3.498e-01,2.298e-01
1688742600,1.526e+01,1.000e+00,4.124e-01,2.705e-02
1688743200,1.532e+01,1.050e+01,4.139e-01,2.838e-01
1688743800,8.609e+00,6.501e+00,2.327e-01,1.757e-01
1688744400,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688745000,1.074e+01,1.100e+01,2.903e-01,2.973e-01
1688745600,8.675e+00,5.501e+00,2.345e-01,1.487e-01
1688746200,1.074e+01,1.000e+00,2.903e-01,2.705e-02
1688746800,1.303e+01,1.600e+01,3.523e-01,4.325e-01
1688747400,2.239e+01,6.001e+00,6.052e-01,1.622e-01
1688748000,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688748600,6.409e+00,1.250e+01,1.732e-01,3.379e-01
1688749200,2.075e+00,2.500e+00,5.607e-02,6.758e-02
1688749800,1.768e+01,7.001e+00,4.778e-01,1.892e-01
1688750400,6.211e+00,7.501e+00,1.679e-01,2.027e-01
1688751000,8.675e+00,2.000e+00,2.345e-01,2.705e-02
1688751600,8.675e+00,4.001e+00,2.345e-01,1.081e-01
1688752200,6.475e+00,1.050e+01,1.750e-01,2.838e-01
1688752800,1.075e+01,8.501e+00,2.906e-01,2.298e-01
1688753400,1.527e+01,1.000e+00,4.127e-01,2.705e-02
1688754000,6.398e+00,8.488e+00,1.729e-01,2.294e-01
1688754600,2.075e+00,6.001e+00,5.607e-02,1.622e-01
1688755200,2.075e+00,4.501e+00,5.607e-02,1.216e-01
1688755800,4.143e+00,5.001e+00,1.120e-01,1.352e-01
1688756400,1.776e+01,8.501e+00,4.799e-01,2.298e-01
1688757000,4.143e+00,6.501e+00,1.120e-01,1.757e-01
1688757600,1.308e+01,1.000e+00,3.535e-01,2.705e-02
1688758200,1.997e+01,1.000e+00,5.397e-01,2.705e-02
1688758800,1.087e+01,8.501e+00,2.939e-01,2.298e-01
1688759400,1.081e+01,1.000e+00,2.921e-01,2.705e-02
1688760000,6.409e+00,8.501e+00,1.732e-01,2.298e-01
1688760600,6.343e+00,2.000e+00,1.714e-01,2.705e-02
1688761200,4.209e+00,9.001e+00,1.137e-01,2.433e-01
1688761800,4.275e+00,1.000e+00,1.155e-01,2.705e-02
1688762400,2.075e+00,3.000e+00,5.607e-02,8.109e-02
1688763000,8.609e+00,1.050e+01,2.327e-01,2.838e-01
1688763600,1.302e+01,1.000e+00,3.519e-01,2.705e-02
1688764200,6.475e+00,6.001e+00,1.750e-01,1.622e-01
1688764800,1.000e+00,2.500e+00,2.705e-02,6.758e-02
1688765400,2.075e+00,8.501e+00,5.607e-02,2.298e-01
1688766000,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688766600,6.409e+00,5.501e+00,1.732e-01,1.487e-01
1688767200,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688767800,4.275e+00,9.501e+00,1.155e-01,2.568e-01
1688768400,8.609e+00,2.000e+00,2.327e-01,2.705e-02
1688769000,8.543e+00,5.001e+00,2.309e-01,1.352e-01
1688769600,2.071e+00,1.000e+00,5.597e-02,2.705e-02
1688770200,8.609e+00,1.400e+01,2.327e-01,3.784e-01
1688770800,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688771400,6.475e+00,3.000e+00,1.750e-01,8.109e-02
1688772000,6.475e+00,3.501e+00,1.750e-01,9.461e-02
1688772600,4.275e+00,3.501e+00,1.155e-01,9.461e-02
1688773200,8.675e+00,3.000e+00,2.345e-01,8.109e-02
1688773800,1.316e+01,3.000e+00,3.557e-01,8.109e-02
1688774400,6.409e+00,4.501e+00,1.732e-01,1.216e-01
1688775000,1.780e+01,1.000e+01,4.810e-01,2.703e-01
1688775600,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688776200,6.343e+00,6.501e+00,1.714e-01,1.757e-01
1688776800,2.009e+00,1.000e+00,5.429e-02,2.705e-02
1688777400,2.075e+00,8.001e+00,5.607e-02,2.162e-01
1688778000,2.009e+00,7.001e+00,5.429e-02,1.892e-01
1688778600,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688779200,8.675e+00,2.500e+00,2.345e-01,6.758e-02
1688779800,2.009e+00,3.000e+00,5.429e-02,8.109e-02
1688780400,2.009e+00,2.000e+00,5.429e-02,2.705e-02
1688781000,6.409e+00,5.501e+00,1.732e-01,1.487e-01
1688781600,6.475e+00,3.500e+00,1.750e-01,9.461e-02
1688782200,8.675e+00,3.501e+00,2.345e-01,9.461e-02
1688782800,8.609e+00,2.500e+00,2.327e-01,6.758e-02
1688783400,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688784000,1.090e+01,3.500e+00,2.946e-01,9.461e-02
1688784600,8.609e+00,5.001e+00,2.327e-01,1.352e-01
1688785200,2.075e+00,4.501e+00,5.607e-02,1.216e-01
1688785800,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688786400,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688787000,8.609e+00,3.501e+00,2.327e-01,9.461e-02
1688787600,1.757e+01,2.000e+00,4.748e-01,2.705e-02
1688788200,4.275e+00,5.001e+00,1.155e-01,1.352e-01
1688788800,8.411e+00,9.001e+00,2.273e-01,2.433e-01
1688789400,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688790000,4.275e+00,8.001e+00,1.155e-01,2.162e-01
1688790600,1.540e+01,8.501e+00,4.161e-01,2.298e-01
1688791200,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688791800,4.275e+00,1.150e+01,1.155e-01,3.109e-01
1688792400,6.409e+00,2.500e+00,1.732e-01,6.758e-02
1688793000,2.009e+00,1.000e+00,5.428e-02,2.705e-02
1688793600,1.310e+01,3.500e+00,3.540e-01,9.461e-02
1688794200,1.301e+01,3.501e+00,3.515e-01,9.461e-02
1688794800,4.275e+00,7.501e+00,1.155e-01,2.027e-01
1688795400,4.209e+00,1.000e+00,1.137e-01,2.705e-02
1688796000,1.089e+01,6.001e+00,2.944e-01,1.622e-01
1688796600,2.075e+00,5.001e+00,5.607e-02,1.352e-01
1688797200,2.075e+00,1.000e+00,5.607e-02,2.705e-02
1688797800,4.209e+00,1.600e+01,1.137e-01,4.325e-01
1688798400,1.543e+01,1.000e+00,4.169e-01,2.705e-02
1688799000,8.543e+00,1.000e+00,2.309e-01,2.705e-02
1688799600,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688800200,8.609e+00,2.500e+00,2.327e-01,6.758e-02
1688800800,1.308e+01,4.501e+00,3.534e-01,1.216e-01
1688801400,6.266e+00,1.000e+00,1.694e-01,2.705e-02
1688802000,8.411e+00,1.300e+01,2.273e-01,3.514e-01
1688802600,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688803200,1.307e+01,8.501e+00,3.532e-01,2.298e-01
1688803800,1.306e+01,1.000e+00,3.529e-01,2.705e-02
1688804400,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688805000,1.000e+00,5.001e+00,2.705e-02,1.352e-01
1688805600,1.308e+01,1.000e+00,3.536e-01,2.705e-02
1688806200,6.277e+00,1.050e+01,1.697e-01,2.838e-01
1688806800,1.300e+01,1.000e+00,3.515e-01,2.705e-02
1688807400,8.609e+00,1.150e+01,2.327e-01,3.109e-01
1688808000,6.343e+00,1.000e+00,1.714e-01,2.705e-02
1688808600,2.009e+00,4.501e+00,5.429e-02,1.216e-01
1688809200,2.075e+00,1.000e+00,5.607e-02,2.705e-02
1688809800,6.277e+00,6.001e+00,1.697e-01,1.622e-01
1688810400,4.209e+00,8.001e+00,1.138e-01,2.162e-01
1688811000,1.549e+01,1.000e+00,4.186e-01,2.705e-02
1688811600,6.409e+00,5.501e+00,1.732e-01,1.487e-01
1688812200,8.609e+00,2.500e+00,2.327e-01,6.758e-02
1688812800,1.000e+00,5.001e+00,2.705e-02,1.352e-01
1688813400,6.343e+00,1.000e+00,1.714e-01,2.705e-02
1688814000,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688814600,8.543e+00,1.000e+01,2.309e-01,2.703e-01
1688815200,4.143e+00,1.000e+00,1.120e-01,2.705e-02
1688815800,1.076e+01,8.501e+00,2.908e-01,2.298e-01
1688816400,1.531e+01,4.001e+00,4.139e-01,1.081e-01
1688817000,2.005e+00,2.996e+00,5.419e-02,8.096e-02
1688817600,2.009e+00,1.000e+00,5.428e-02,2.705e-02
1688818200,2.492e+01,1.100e+01,6.735e-01,2.973e-01
1688818800,4.275e+00,2.000e+00,1.155e-01,2.705e-02
1688819400,1.300e+01,1.000e+00,3.514e-01,2.705e-02
1688820000,1.000e+00,6.501e+00,2.705e-02,1.757e-01
1688820600,4.275e+00,3.000e+00,1.155e-01,8.109e-02
1688821200,4.275e+00,3.000e+00,1.155e-01,8.109e-02
1688821800,8.609e+00,4.501e+00,2.327e-01,1.216e-01
1688822400,8.675e+00,3.000e+00,2.345e-01,8.109e-02
1688823000,8.675e+00,4.501e+00,2.345e-01,1.216e-01
1688823600,8.609e+00,7.001e+00,2.327e-01,1.892e-01
1688824200,1.089e+01,1.000e+00,2.943e-01,2.705e-02
1688824800,4.209e+00,9.501e+00,1.137e-01,2.568e-01
1688825400,6.343e+00,1.000e+00,1.714e-01,2.705e-02
1688826000,1.000e+00,7.501e+00,2.705e-02,2.027e-01
1688826600,1.550e+01,6.501e+00,4.188e-01,1.757e-01
1688827200,1.075e+01,1.000e+00,2.906e-01,2.705e-02
1688827800,8.675e+00,7.501e+00,2.345e-01,2.027e-01
1688828400,6.409e+00,2.000e+00,1.732e-01,2.705e-02
1688829000,8.543e+00,2.500e+00,2.309e-01,6.758e-02
1688829600,1.763e+01,1.000e+00,4.766e-01,2.705e-02
1688830200,6.343e+00,1.200e+01,1.714e-01,3.244e-01
1688830800,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688831400,8.543e+00,9.001e+00,2.309e-01,2.433e-01
1688832000,4.209e+00,1.000e+00,1.137e-01,2.705e-02
1688832600,1.000e+00,1.747e+01,2.705e-02,4.722e-01
1688833200,8.675e+00,2.000e+00,2.345e-01,2.705e-02
1688833800,8.675e+00,4.001e+00,2.345e-01,1.081e-01
1688834400,1.000e+00,1.000e+00,2.705e-02,2.705e-02
1688835000,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688835600,1.089e+01,3.000e+00,2.944e-01,8.109e-02
1688836200,1.082e+01,2.000e+00,2.925e-01,2.705e-02
1688836800,8.411e+00,3.500e+00,2.273e-01,9.461e-02
1688837400,1.089e+01,7.501e+00,2.943e-01,2.027e-01
1688838000,1.082e+01,1.000e+00,2.924e-01,2.705e-02
1688838600,8.609e+00,6.501e+00,2.327e-01,1.757e-01
1688839200,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688839800,1.535e+01,1.000e+01,4.150e-01,2.703e-01
1688840400,6.343e+00,2.500e+00,1.714e-01,6.758e-02
1688841000,1.000e+00,2.500e+00,2.705e-02,6.758e-02
1688841600,6.409e+00,4.501e+00,1.732e-01,1.216e-01
1688842200,8.675e+00,2.500e+00,2.345e-01,6.758e-02
1688842800,4.275e+00,2.000e+00,1.155e-01,2.705e-02
1688843400,2.009e+00,4.001e+00,5.429e-02,1.081e-01
1688844000,1.083e+01,6.001e+00,2.927e-01,1.622e-01
1688844600,8.609e+00,2.000e+00,2.327e-01,2.705e-02
1688845200,1.546e+01,4.501e+00,4.177e-01,1.216e-01
1688845800,6.343e+00,1.000e+00,1.714e-01,2.705e-02
1688846400,4.143e+00,1.000e+00,1.120e-01,2.705e-02
1688847000,1.076e+01,1.400e+01,2.907e-01,3.784e-01
1688847600,4.275e+00,1.000e+00,1.155e-01,2.705e-02
1688848200,2.015e+01,9.985e+00,5.447e-01,2.699e-01
1688848800,8.543e+00,2.000e+00,2.309e-01,2.705e-02
1688849400,1.081e+01,1.000e+00,2.923e-01,2.705e-02
1688850000,8.675e+00,8.501e+00,2.345e-01,2.298e-01
1688850600,1.306e+01,1.000e+00,3.529e-01,2.705e-02
1688851200,6.277e+00,3.501e+00,1.696e-01,9.461e-02
1688851800,4.209e+00,6.001e+00,1.137e-01,1.622e-01
1688852400,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688853000,4.275e+00,1.000e+00,1.155e-01,2.705e-02
1688853600,1.294e+01,1.000e+00,3.499e-01,2.705e-02
1688854200,6.409e+00,2.000e+00,1.732e-01,2.705e-02
1688854800,1.537e+01,5.001e+00,4.153e-01,1.352e-01
1688855400,1.075e+01,4.501e+00,2.904e-01,1.216e-01
1688856000,1.312e+01,1.000e+00,3.546e-01,2.705e-02
1688856600,1.000e+00,5.501e+00,2.705e-02,1.487e-01
1688857200,2.016e+01,4.501e+00,5.449e-01,1.216e-01
1688857800,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688858400,1.305e+01,2.500e+00,3.526e-01,6.758e-02
1688859000,4.143e+00,1.000e+00,1.120e-01,2.705e-02
1688859600,6.409e+00,2.500e+00,1.732e-01,6.758e-02
1688860200,4.209e+00,1.100e+01,1.137e-01,2.973e-01
1688860800,2.009e+00,1.000e+00,5.428e-02,2.705e-02
1688861400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688862000,1.316e+01,7.501e+00,3.556e-01,2.027e-01
1688862600,1.314e+01,1.000e+00,3.551e-01,2.705e-02
1688863200,1.075e+01,1.000e+00,2.905e-01,2.705e-02
1688863800,1.999e+01,1.000e+00,5.403e-01,2.705e-02
1688864400,8.609e+00,9.001e+00,2.327e-01,2.433e-01
1688865000,1.763e+01,1.000e+00,4.764e-01,2.705e-02
1688865600,4.077e+00,1.000e+00,1.102e-01,2.705e-02
1688866200,6.277e+00,5.501e+00,1.697e-01,1.487e-01
1688866800,6.409e+00,2.000e+00,1.732e-01,2.705e-02
1688867400,4.209e+00,1.000e+00,1.138e-01,2.705e-02
1688868000,4.209e+00,8.501e+00,1.138e-01,2.298e-01
1688868600,6.475e+00,3.501e+00,1.750e-01,9.461e-02
1688869200,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688869800,1.082e+01,3.000e+00,2.925e-01,8.109e-02
1688870400,6.409e+00,4.001e+00,1.732e-01,1.081e-01
1688871000,2.009e+01,1.000e+00,5.431e-01,2.705e-02
1688871600,1.088e+01,4.001e+00,2.940e-01,1.081e-01
1688872200,1.518e+01,5.001e+00,4.104e-01,1.352e-01
1688872800,1.081e+01,3.000e+00,2.921e-01,8.109e-02
1688873400,2.243e+01,1.000e+00,6.061e-01,2.705e-02
1688874000,1.518e+01,1.450e+01,4.102e-01,3.919e-01
1688874600,1.740e+01,1.000e+00,4.702e-01,2.705e-02
1688875200,1.299e+01,1.000e+00,3.512e-01,2.705e-02
1688875800,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688876400,2.699e+01,7.001e+00,7.296e-01,1.892e-01
1688877000,2.448e+01,1.000e+00,6.617e-01,2.705e-02
1688877600,1.523e+01,1.000e+00,4.116e-01,2.705e-02
1688878200,1.296e+01,5.501e+00,3.504e-01,1.487e-01
1688878800,1.506e+01,1.000e+00,4.071e-01,2.705e-02
1688879400,6.332e+00,9.985e+00,1.711e-01,2.699e-01
1688880000,1.518e+01,1.000e+00,4.103e-01,2.705e-02
1688880600,1.299e+01,1.000e+00,3.511e-01,2.705e-02
1688881200,1.991e+01,7.001e+00,5.381e-01,1.892e-01
1688881800,1.291e+01,1.000e+01,3.490e-01,2.703e-01
1688882400,1.000e+00,5.001e+00,2.705e-02,1.352e-01
1688883000,2.009e+00,2.500e+00,5.428e-02,6.758e-02
1688883600,8.543e+00,1.000e+00,2.309e-01,2.705e-02
1688884200,8.609e+00,5.501e+00,2.327e-01,1.487e-01
1688884800,4.275e+00,1.000e+00,1.155e-01,2.705e-02
1688885400,8.609e+00,6.501e+00,2.327e-01,1.757e-01
1688886000,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688886600,1.089e+01,1.000e+00,2.942e-01,2.705e-02
1688887200,1.299e+01,9.501e+00,3.512e-01,2.568e-01
1688887800,1.088e+01,1.000e+00,2.940e-01,2.705e-02
1688888400,1.540e+01,5.001e+00,4.161e-01,1.352e-01
1688889000,6.343e+00,2.500e+00,1.714e-01,6.758e-02
1688889600,8.675e+00,9.001e+00,2.345e-01,2.433e-01
1688890200,1.772e+01,1.000e+01,4.790e-01,2.703e-01
1688890800,2.482e+01,4.001e+00,6.708e-01,1.081e-01
1688891400,1.523e+01,1.000e+00,4.116e-01,2.705e-02
1688892000,6.409e+00,1.250e+01,1.732e-01,3.379e-01
1688892600,6.343e+00,1.000e+00,1.714e-01,2.705e-02
1688893200,1.068e+01,8.501e+00,2.885e-01,2.298e-01
1688893800,1.303e+01,3.501e+00,3.523e-01,9.461e-02
1688894400,1.296e+01,6.501e+00,3.503e-01,1.757e-01
1688895000,4.590e+00,4.493e+00,1.240e-01,1.214e-01
1688895600,1.088e+01,5.501e+00,2.940e-01,1.487e-01
1688896200,1.770e+01,5.001e+00,4.783e-01,1.352e-01
1688896800,1.528e+01,3.000e+00,4.129e-01,8.109e-02
1688897400,4.275e+00,5.501e+00,1.155e-01,1.487e-01
1688898000,8.675e+00,2.000e+00,2.345e-01,2.705e-02
1688898600,1.000e+00,8.001e+00,2.705e-02,2.162e-01
1688899200,8.675e+00,3.500e+00,2.345e-01,9.461e-02
1688899800,1.082e+01,1.750e+01,2.924e-01,4.730e-01
1688900400,8.477e+00,1.000e+00,2.291e-01,2.705e-02
1688901000,1.306e+01,6.501e+00,3.531e-01,1.757e-01
1688901600,6.475e+00,6.001e+00,1.750e-01,1.622e-01
1688902200,6.343e+00,1.000e+00,1.714e-01,2.705e-02
1688902800,4.209e+00,1.650e+01,1.138e-01,4.460e-01
1688903400,1.000e+00,5.501e+00,2.705e-02,1.487e-01
1688904000,1.303e+01,1.000e+00,3.521e-01,2.705e-02
1688904600,1.759e+01,4.501e+00,4.754e-01,1.216e-01
1688905200,1.305e+01,1.100e+01,3.527e-01,2.973e-01
1688905800,1.075e+01,1.000e+00,2.904e-01,2.705e-02
1688906400,1.075e+01,4.501e+00,2.904e-01,1.216e-01
1688907000,1.532e+01,1.600e+01,4.140e-01,4.325e-01
1688907600,8.675e+00,1.000e+00,2.345e-01,2.705e-02
1688908200,1.081e+01,1.300e+01,2.922e-01,3.514e-01
1688908800,6.343e+00,9.001e+00,1.714e-01,2.433e-01
1688909400,1.994e+01,3.500e+00,5.390e-01,9.461e-02
1688910000,1.750e+01,3.501e+00,4.731e-01,9.461e-02
1688910600,6.464e+00,5.991e+00,1.747e-01,1.619e-01
1688911200,1.753e+01,1.000e+00,4.739e-01,2.705e-02
1688911800,1.755e+01,8.001e+00,4.743e-01,2.162e-01
1688912400,1.073e+01,1.200e+01,2.901e-01,3.244e-01
1688913000,6.409e+00,5.001e+00,1.732e-01,1.352e-01
1688913600,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688914200,1.081e+01,2.000e+00,2.922e-01,2.705e-02
1688914800,6.409e+00,1.100e+01,1.732e-01,2.973e-01
1688915400,1.980e+01,2.500e+00,5.351e-01,6.758e-02
1688916000,3.228e+01,1.000e+00,8.725e-01,2.705e-02
1688916600,1.519e+01,4.001e+00,4.104e-01,1.081e-01
1688917200,1.298e+01,9.501e+00,3.508e-01,2.568e-01
1688917800,1.305e+01,1.000e+00,3.528e-01,2.705e-02
1688918400,1.086e+01,1.000e+00,2.935e-01,2.705e-02
1688919000,1.518e+01,8.501e+00,4.102e-01,2.298e-01
1688919600,1.983e+01,1.000e+00,5.360e-01,2.705e-02
1688920200,1.747e+01,7.001e+00,4.723e-01,1.892e-01
1688920800,1.297e+01,1.000e+00,3.507e-01,2.705e-02
1688921400,1.966e+01,3.501e+00,5.314e-01,9.461e-02
1688922000,1.961e+01,4.001e+00,5.300e-01,1.081e-01
1688922600,1.959e+01,5.501e+00,5.295e-01,1.487e-01
1688923200,3.155e+01,1.150e+01,8.527e-01,3.109e-01
1688923800,2.423e+01,1.000e+00,6.550e-01,2.705e-02
1688924400,1.483e+01,9.001e+00,4.007e-01,2.433e-01
1688925000,1.662e+01,9.501e+00,4.491e-01,2.568e-01
1688925600,1.730e+01,1.000e+00,4.676e-01,2.705e-02
1688926200,2.408e+01,4.992e+00,6.508e-01,1.349e-01
1688926800,2.412e+01,3.000e+00,6.518e-01,8.109e-02
1688927400,1.496e+01,1.800e+01,4.043e-01,4.866e-01
1688928000,1.736e+01,1.000e+00,4.691e-01,2.705e-02
1688928600,1.071e+01,1.000e+00,2.896e-01,2.705e-02
1688929200,1.296e+01,1.000e+00,3.502e-01,2.705e-02
1688929800,2.208e+01,6.001e+00,5.968e-01,1.622e-01
1688930400,3.164e+01,1.400e+01,8.552e-01,3.784e-01
1688931000,1.083e+01,1.000e+00,2.928e-01,2.705e-02
1688931600,1.072e+01,3.501e+00,2.897e-01,9.461e-02
1688932200,6.277e+00,7.001e+00,1.697e-01,1.892e-01
1688932800,3.711e+01,1.000e+00,1.003e+00,2.705e-02
1688933400,1.954e+01,1.300e+01,5.280e-01,3.514e-01
1688934000,2.664e+01,1.000e+00,7.200e-01,2.705e-02
1688934600,4.011e+00,1.500e+01,1.084e-01,4.055e-01
1688935200,2.935e+01,8.501e+00,7.933e-01,2.298e-01
1688935800,2.636e+01,1.000e+00,7.124e-01,2.705e-02
1688936400,2.179e+01,1.000e+00,5.889e-01,2.705e-02
1688937000,2.879e+01,1.200e+01,7.780e-01,3.244e-01
1688937600,1.725e+01,5.001e+00,4.662e-01,1.352e-01
1688938200,6.343e+00,1.000e+00,1.714e-01,2.705e-02
1688938800,1.078e+01,3.000e+00,2.914e-01,8.109e-02
1688939400,1.276e+01,1.000e+00,3.450e-01,2.705e-02
1688940000,1.066e+01,3.000e+00,2.881e-01,8.109e-02
1688940600,1.980e+01,5.501e+00,5.351e-01,1.487e-01
1688941200,1.283e+01,1.000e+00,3.469e-01,2.705e-02
1688941800,8.661e+00,2.996e+00,2.341e-01,8.096e-02
1688942400,1.306e+01,9.001e+00,3.531e-01,2.433e-01
1688943000,1.985e+01,1.000e+00,5.365e-01,2.705e-02
1688943600,2.445e+01,5.501e+00,6.608e-01,1.487e-01
1688944200,2.204e+01,1.000e+00,5.957e-01,2.705e-02
1688944800,1.739e+01,8.001e+00,4.701e-01,2.162e-01
1688945400,1.727e+01,1.000e+00,4.667e-01,2.705e-02
1688946000,1.288e+01,7.001e+00,3.482e-01,1.892e-01
1688946600,6.409e+00,4.001e+00,1.732e-01,1.081e-01
1688947200,1.751e+01,1.000e+00,4.733e-01,2.705e-02
1688947800,2.206e+01,3.501e+00,5.962e-01,9.461e-02
1688948400,2.436e+01,1.000e+00,6.585e-01,2.705e-02
1688949000,1.966e+01,4.501e+00,5.315e-01,1.216e-01
1688949600,1.078e+01,1.250e+01,2.914e-01,3.379e-01
1688950200,2.201e+01,1.000e+00,5.949e-01,2.705e-02
1688950800,2.893e+01,1.000e+00,7.818e-01,2.705e-02
1688951400,1.291e+01,8.001e+00,3.490e-01,2.162e-01
1688952000,8.609e+00,1.000e+00,2.327e-01,2.705e-02
1688952600,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688953200,6.343e+00,2.500e+00,1.714e-01,6.758e-02
1688953800,1.756e+01,2.000e+00,4.745e-01,2.705e-02
1688954400,1.516e+01,6.501e+00,4.098e-01,1.757e-01
1688955000,2.157e+00,7.501e+00,5.829e-02,2.027e-01
1688955600,2.233e+01,3.501e+00,6.036e-01,9.461e-02
1688956200,1.757e+01,1.000e+00,4.750e-01,2.705e-02
1688956800,1.988e+01,4.001e+00,5.373e-01,1.081e-01
1688957400,1.524e+01,1.000e+00,4.119e-01,2.705e-02
1688958000,1.304e+01,1.000e+00,3.526e-01,2.705e-02
1688958600,1.086e+01,7.001e+00,2.935e-01,1.892e-01
