rd,tz=0,v=1.5
time,radon_B,rd_particle_B,radon_pCi,rd_particle_pCi
1688226600,1.963e+01,8.001e+00,5.305e-01,2.162e-01
1688227200,1.754e+01,4.501e+00,4.740e-01,1.216e-01
1688227800,6.277e+00,3.501e+00,1.696e-01,9.461e-02
1688228400,1.993e+01,7.501e+00,5.388e-01,2.027e-01
1688229000,2.681e+01,8.001e+00,7.247e-01,2.162e-01
1688229600,1.509e+01,1.000e+00,4.078e-01,2.705e-02
1688230200,1.750e+01,7.501e+00,4.731e-01,2.027e-01
1688230800,3.173e+01,1.000e+00,8.576e-01,2.705e-02
1688231400,1.939e+01,7.001e+00,5.239e-01,1.892e-01
1688232000,1.721e+01,1.150e+01,4.652e-01,3.109e-01
1688232600,1.971e+01,9.501e+00,5.327e-01,2.568e-01
1688233200,1.512e+01,1.000e+00,4.087e-01,2.705e-02
1688233800,6.409e+00,1.350e+01,1.732e-01,3.649e-01
1688234400,1.073e+01,5.001e+00,2.899e-01,1.352e-01
1688235000,1.749e+01,6.001e+00,4.727e-01,1.622e-01
1688235600,2.457e+01,4.501e+00,6.641e-01,1.216e-01
1688236200,2.195e+01,3.501e+00,5.932e-01,9.461e-02
1688236800,2.905e+01,2.500e+00,7.852e-01,6.758e-02
1688237400,1.291e+01,1.150e+01,3.490e-01,3.109e-01
1688238000,2.435e+01,3.501e+00,6.582e-01,9.461e-02
1688238600,6.277e+00,8.001e+00,1.696e-01,2.162e-01
1688239200,2.213e+01,2.496e+00,5.982e-01,6.746e-02
1688239800,3.176e+01,1.000e+00,8.585e-01,2.705e-02
1688240400,1.290e+01,8.001e+00,3.488e-01,2.162e-01
1688241000,1.078e+01,2.000e+00,2.913e-01,2.705e-02
1688241600,1.729e+01,8.001e+00,4.672e-01,2.162e-01
1688242200,8.609e+00,1.000e+01,2.327e-01,2.703e-01
1688242800,6.277e+00,1.000e+00,1.697e-01,2.705e-02
1688243400,1.993e+01,8.001e+00,5.386e-01,2.162e-01
1688244000,1.086e+01,1.000e+00,2.934e-01,2.705e-02
1688244600,1.000e+00,7.001e+00,2.705e-02,1.892e-01
1688245200,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688245800,2.489e+01,1.400e+01,6.727e-01,3.784e-01
1688246400,1.202e+01,1.000e+00,3.248e-01,2.705e-02
1688247000,3.480e+01,6.001e+00,9.405e-01,1.622e-01
1688247600,1.522e+01,2.000e+00,4.114e-01,2.705e-02
1688248200,8.675e+00,9.001e+00,2.345e-01,2.433e-01
1688248800,8.609e+00,4.501e+00,2.327e-01,1.216e-01
1688249400,4.275e+00,3.501e+00,1.155e-01,9.461e-02
1688250000,6.409e+00,2.500e+00,1.732e-01,6.758e-02
1688250600,1.304e+01,5.501e+00,3.524e-01,1.487e-01
1688251200,2.475e+01,2.000e+00,6.690e-01,2.705e-02
1688251800,6.475e+00,1.150e+01,1.750e-01,3.109e-01
1688252400,1.535e+01,1.000e+00,4.149e-01,2.705e-02
1688253000,2.075e+00,1.000e+00,5.607e-02,2.705e-02
1688253600,2.009e+00,1.250e+01,5.429e-02,3.379e-01
1688254200,1.307e+01,8.001e+00,3.531e-01,2.162e-01
1688254800,8.661e+00,1.000e+00,2.341e-01,2.705e-02
1688255400,1.533e+01,8.501e+00,4.144e-01,2.298e-01
1688256000,1.537e+01,1.150e+01,4.154e-01,3.109e-01
1688256600,1.309e+01,1.000e+00,3.538e-01,2.705e-02
1688257200,6.475e+00,2.000e+00,1.750e-01,2.705e-02
1688257800,1.763e+01,3.000e+00,4.764e-01,8.109e-02
1688258400,4.209e+00,1.000e+00,1.137e-01,2.705e-02
1688259000,8.609e+00,8.001e+00,2.327e-01,2.162e-01
1688259600,2.075e+00,3.501e+00,5.607e-02,9.461e-02
1688260200,4.827e+00,1.000e+00,1.305e-01,2.705e-02
1688260800,2.009e+01,9.001e+00,5.430e-01,2.433e-01
1688261400,1.538e+01,1.000e+00,4.156e-01,2.705e-02
1688262000,8.543e+00,2.000e+00,2.309e-01,2.705e-02
1688262600,1.538e+01,1.000e+00,4.158e-01,2.705e-02
1688263200,1.081e+01,5.001e+00,2.920e-01,1.352e-01
1688263800,6.475e+00,5.501e+00,1.750e-01,1.487e-01
1688264400,2.009e+00,1.000e+00,5.428e-02,2.705e-02
1688265000,4.275e+00,9.001e+00,1.155e-01,2.433e-01
1688265600,1.764e+01,4.001e+00,4.768e-01,1.081e-01
1688266200,1.985e+01,2.500e+00,5.364e-01,6.758e-02
1688266800,1.087e+01,6.501e+00,2.938e-01,1.757e-01
1688267400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688268000,1.311e+01,9.001e+00,3.544e-01,2.433e-01
1688268600,1.297e+01,1.000e+00,3.505e-01,2.705e-02
1688269200,1.303e+01,4.501e+00,3.522e-01,1.216e-01
1688269800,1.529e+01,1.000e+00,4.132e-01,2.705e-02
1688270400,4.201e+00,1.000e+00,1.136e-01,2.705e-02
1688271000,6.409e+00,1.000e+00,1.732e-01,2.705e-02
1688271600,8.609e+00,3.501e+00,2.327e-01,9.461e-02
1688272200,1.088e+01,7.001e+00,2.941e-01,1.892e-01
1688272800,1.771e+01,2.500e+00,4.788e-01,6.758e-02
1688273400,1.081e+01,3.501e+00,2.921e-01,9.461e-02
1688274000,1.081e+01,2.000e+00,2.921e-01,2.705e-02
1688274600,1.087e+01,7.501e+00,2.939e-01,2.027e-01
1688275200,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688275800,6.475e+00,2.500e+00,1.750e-01,6.758e-02
1688276400,2.009e+00,1.000e+00,5.429e-02,2.705e-02
1688277000,6.409e+00,7.501e+00,1.732e-01,2.027e-01
1688277600,8.675e+00,3.501e+00,2.345e-01,9.461e-02
1688278200,8.477e+00,1.000e+00,2.291e-01,2.705e-02
1688278800,1.082e+01,7.501e+00,2.924e-01,2.027e-01
1688279400,1.286e+01,1.000e+00,3.476e-01,2.705e-02
1688280000,1.492e+01,3.000e+00,4.033e-01,8.109e-02
1688280600,1.297e+01,1.000e+00,3.506e-01,2.705e-02
1688281200,1.537e+01,4.501e+00,4.155e-01,1.216e-01
1688281800,2.282e+01,4.001e+00,6.168e-01,1.081e-01
1688282400,2.453e+01,1.000e+00,6.629e-01,2.705e-02
1688283000,6.409e+00,2.500e+00,1.732e-01,6.758e-02
1688283600,1.747e+01,7.501e+00,4.722e-01,2.027e-01
1688284200,1.086e+01,1.000e+00,2.935e-01,2.705e-02
1688284800,6.475e+00,7.001e+00,1.750e-01,1.892e-01
1688285400,6.475e+00,1.000e+00,1.750e-01,2.705e-02
1688286000,1.535e+01,2.996e+00,4.148e-01,8.096e-02
1688286600,1.061e+01,8.001e+00,2.866e-01,2.162e-01
1688287200,1.309e+01,2.000e+00,3.539e-01,2.705e-02
1688287800,6.475e+00,6.501e+00,1.750e-01,1.757e-01
1688288400,1.088e+01,1.000e+00,2.939e-01,2.705e-02
1688289000,1.087e+01,8.501e+00,2.939e-01,2.298e-01
1688289600,1.754e+01,3.000e+00,4.741e-01,8.109e-02
1688290200,8.543e+00,8.001e+00,2.309e-01,2.162e-01
1688290800,1.081e+01,4.501e+00,2.921e-01,1.216e-01
1688291400,1.296e+01,4.501e+00,3.504e-01,1.216e-01
1688292000,1.529e+01,1.000e+00,4.132e-01,2.705e-02
