h2s,tz=0,v=1.5
time,h2s,so2
1688185500,NaN,2.000e-01
1688185560,NaN,2.000e-01
1688185620,NaN,2.000e-01
1688185680,NaN,2.000e-01
1688185920,5.620e-01,NaN
1688185980,5.440e-01,NaN
1688186040,5.700e-01,NaN
1688186100,5.510e-01,NaN
1688186160,5.400e-01,NaN
1688186220,5.640e-01,NaN
1688186280,5.630e-01,NaN
1688186520,NaN,2.000e-01
1688186580,NaN,2.000e-01
1688186640,NaN,2.000e-01
1688186700,NaN,2.000e-01
1688186760,NaN,2.000e-01
1688186820,NaN,2.000e-01
1688186880,NaN,2.000e-01
1688187120,5.140e-01,NaN
1688187180,4.760e-01,NaN
1688187240,4.520e-01,NaN
1688187300,4.570e-01,NaN
1688187360,4.820e-01,NaN
1688187420,4.690e-01,NaN
1688187480,4.980e-01,NaN
1688187720,NaN,2.000e-01
1688187780,NaN,2.000e-01
1688187840,NaN,2.000e-01
1688187900,NaN,2.000e-01
1688187960,NaN,2.000e-01
1688188020,NaN,2.000e-01
1688188080,NaN,2.000e-01
1688188140,NaN,2.000e-01
1688188200,NaN,2.000e-01
1688188260,4.900e-01,NaN
1688188320,5.010e-01,NaN
1688188380,5.300e-01,NaN
1688188440,4.990e-01,NaN
1688188500,5.420e-01,NaN
1688188560,5.820e-01,NaN
1688188620,5.730e-01,NaN
1688188680,5.790e-01,NaN
1688188920,NaN,2.000e-01
1688188980,NaN,2.000e-01
1688189040,NaN,2.000e-01
1688189100,NaN,2.000e-01
1688189160,NaN,2.000e-01
1688189220,NaN,2.000e-01
1688189280,NaN,2.000e-01
1688189520,6.120e-01,NaN
1688189580,6.040e-01,NaN
1688189640,6.390e-01,NaN
1688189700,6.500e-01,NaN
1688189760,6.740e-01,NaN
1688189820,6.960e-01,NaN
1688189880,7.050e-01,NaN
1688190120,NaN,2.000e-01
1688190180,NaN,2.000e-01
1688190240,NaN,2.000e-01
1688190300,NaN,2.000e-01
1688190360,NaN,2.000e-01
1688190420,NaN,2.000e-01
1688190480,NaN,2.000e-01
1688190720,7.050e-01,NaN
1688190780,7.400e-01,NaN
1688190840,7.350e-01,NaN
1688190900,7.450e-01,NaN
1688190960,7.560e-01,NaN
1688191020,7.540e-01,NaN
1688191080,7.600e-01,NaN
1688191320,NaN,2.000e-01
1688191380,NaN,2.000e-01
1688191440,NaN,2.000e-01
1688191500,NaN,2.000e-01
1688191560,NaN,2.000e-01
1688191620,NaN,2.000e-01
1688191680,NaN,2.000e-01
1688191920,7.400e-01,NaN
1688191980,6.970e-01,NaN
1688192040,6.410e-01,NaN
1688192100,6.170e-01,NaN
1688192160,6.010e-01,NaN
1688192220,6.070e-01,NaN
1688192280,6.330e-01,NaN
1688192520,NaN,2.000e-01
1688192580,NaN,2.000e-01
1688192640,NaN,2.000e-01
1688192700,NaN,2.000e-01
1688192760,NaN,2.000e-01
1688192820,NaN,2.000e-01
1688192880,NaN,2.000e-01
1688193120,6.360e-01,NaN
1688193180,6.050e-01,NaN
1688193240,5.580e-01,NaN
1688193300,5.200e-01,NaN
1688193360,4.540e-01,NaN
1688193420,4.540e-01,NaN
1688193480,4.380e-01,NaN
1688193720,NaN,2.000e-01
1688193780,NaN,2.000e-01
1688193840,NaN,2.000e-01
1688193900,NaN,2.000e-01
1688193960,NaN,2.000e-01
1688194020,NaN,2.000e-01
1688194080,NaN,2.000e-01
1688194320,5.210e-01,NaN
1688194380,6.440e-01,NaN
1688194440,7.530e-01,NaN
1688194500,8.350e-01,NaN
1688194560,8.930e-01,NaN
1688194620,8.500e-01,NaN
1688194680,8.600e-01,NaN
1688194920,NaN,2.000e-01
1688194980,NaN,2.000e-01
1688195040,NaN,2.000e-01
1688195100,NaN,2.000e-01
1688195160,NaN,2.000e-01
1688195220,NaN,2.000e-01
1688195280,NaN,2.000e-01
1688195520,8.760e-01,NaN
1688195580,9.010e-01,NaN
1688195640,9.320e-01,NaN
1688195700,9.870e-01,NaN
1688195760,9.620e-01,NaN
1688195820,9.460e-01,NaN
1688196120,NaN,2.000e-01
1688196180,NaN,2.000e-01
1688196240,NaN,2.000e-01
1688196300,NaN,2.000e-01
1688196360,NaN,2.000e-01
1688196420,NaN,2.000e-01
1688196480,NaN,2.000e-01
1688196720,8.520e-01,NaN
1688196780,7.870e-01,NaN
1688196840,7.250e-01,NaN
1688196900,6.850e-01,NaN
1688196960,6.500e-01,NaN
1688197020,6.680e-01,NaN
1688197080,6.690e-01,NaN
1688197320,NaN,2.000e-01
