nox,tz=0,v=1.5
time,no,no2,nox
1688169600,1.930e-01,5.630e-01,7.560e-01
1688169660,1.960e-01,5.930e-01,7.880e-01
1688169720,2.020e-01,6.420e-01,8.440e-01
1688169780,2.150e-01,7.230e-01,9.380e-01
1688169840,2.760e-01,1.061e+00,1.336e+00
1688169900,3.180e-01,1.345e+00,1.663e+00
1688169960,3.330e-01,1.515e+00,1.848e+00
1688170020,3.360e-01,1.577e+00,1.913e+00
1688170080,3.370e-01,1.640e+00,1.977e+00
1688170140,3.420e-01,1.690e+00,2.032e+00
1688170200,3.450e-01,1.710e+00,2.055e+00
1688170260,3.360e-01,1.637e+00,1.973e+00
1688170320,2.890e-01,1.378e+00,1.667e+00
1688170380,2.450e-01,1.183e+00,1.428e+00
1688170440,2.340e-01,1.121e+00,1.355e+00
1688170500,2.360e-01,1.128e+00,1.364e+00
1688170560,2.410e-01,1.130e+00,1.371e+00
1688170620,2.380e-01,1.160e+00,1.397e+00
1688170680,2.290e-01,1.201e+00,1.430e+00
1688170740,2.180e-01,1.283e+00,1.501e+00
1688170800,2.320e-01,1.333e+00,1.565e+00
1688170860,2.440e-01,1.398e+00,1.642e+00
1688170920,2.480e-01,1.467e+00,1.716e+00
1688170980,2.510e-01,1.535e+00,1.786e+00
1688171040,2.470e-01,1.560e+00,1.807e+00
1688171100,2.420e-01,1.545e+00,1.787e+00
1688171160,2.400e-01,1.518e+00,1.758e+00
1688171220,2.350e-01,1.414e+00,1.649e+00
1688171280,2.150e-01,1.339e+00,1.554e+00
1688171340,2.080e-01,1.265e+00,1.473e+00
1688171400,1.990e-01,1.196e+00,1.395e+00
1688171460,1.890e-01,1.142e+00,1.330e+00
1688171520,1.950e-01,1.110e+00,1.305e+00
1688171580,1.930e-01,1.086e+00,1.279e+00
1688171640,1.840e-01,1.095e+00,1.278e+00
1688171700,1.810e-01,1.117e+00,1.298e+00
1688171760,1.740e-01,1.150e+00,1.324e+00
1688171820,1.690e-01,1.182e+00,1.352e+00
1688171880,1.680e-01,1.191e+00,1.359e+00
1688171940,1.670e-01,1.187e+00,1.354e+00
1688172000,1.540e-01,1.163e+00,1.317e+00
1688172060,1.450e-01,1.097e+00,1.242e+00
1688172120,1.420e-01,1.057e+00,1.199e+00
1688172180,1.420e-01,1.019e+00,1.160e+00
1688172240,1.330e-01,9.320e-01,1.065e+00
1688172300,1.150e-01,8.490e-01,9.640e-01
1688172360,1.070e-01,7.890e-01,8.950e-01
1688172420,1.000e-01,7.460e-01,8.460e-01
1688172480,1.000e-01,7.550e-01,8.540e-01
1688172540,1.020e-01,7.740e-01,8.760e-01
1688172600,1.030e-01,7.750e-01,8.780e-01
1688172660,1.060e-01,9.340e-01,1.040e+00
1688172720,1.260e-01,1.154e+00,1.280e+00
1688172780,1.500e-01,1.367e+00,1.517e+00
1688172840,1.710e-01,1.617e+00,1.788e+00
1688172900,1.920e-01,1.834e+00,2.026e+00
1688172960,2.160e-01,2.065e+00,2.281e+00
1688173020,2.430e-01,2.314e+00,2.556e+00
1688173080,2.510e-01,2.516e+00,2.767e+00
1688173140,2.610e-01,2.568e+00,2.829e+00
1688173200,2.680e-01,2.637e+00,2.905e+00
1688173260,2.700e-01,2.698e+00,2.968e+00
1688173320,2.710e-01,2.671e+00,2.942e+00
1688173380,2.690e-01,2.699e+00,2.967e+00
1688173440,2.570e-01,2.717e+00,2.974e+00
1688173500,2.470e-01,2.678e+00,2.925e+00
1688173560,2.460e-01,2.657e+00,2.903e+00
1688173620,2.370e-01,2.645e+00,2.882e+00
1688173680,2.300e-01,2.638e+00,2.868e+00
1688173740,2.340e-01,2.612e+00,2.846e+00
1688173800,2.240e-01,2.563e+00,2.787e+00
1688173860,2.150e-01,2.484e+00,2.699e+00
1688173920,2.070e-01,2.407e+00,2.614e+00
1688173980,2.110e-01,2.366e+00,2.576e+00
1688174040,2.150e-01,2.310e+00,2.525e+00
1688174100,2.130e-01,2.222e+00,2.435e+00
1688174160,2.010e-01,2.084e+00,2.285e+00
1688174220,1.900e-01,2.018e+00,2.207e+00
1688174280,1.850e-01,2.031e+00,2.216e+00
1688174340,1.900e-01,2.018e+00,2.209e+00
1688174400,2.010e-01,2.060e+00,2.260e+00
1688174460,1.940e-01,2.106e+00,2.300e+00
1688174520,1.840e-01,2.142e+00,2.326e+00
1688174580,1.920e-01,2.169e+00,2.361e+00
1688174640,1.940e-01,2.231e+00,2.425e+00
1688174700,1.980e-01,2.299e+00,2.498e+00
